@relation i2p

@attribute avg_payload_len numeric
@attribute max_payload_len numeric
@attribute fragment_ratio numeric
@attribute entopy_len numeric
@attribute variance numeric
@attribute seq_exist numeric
@attribute isI2P {yes,no}

@data
848.888889,1056,0.666667,1.865395,658.433924,1,yes
596,1448,0,2.245099,536.300911,1,yes
987.471698,1448,0.754717,1.772859,730.573078,1,yes
1060.444444,1448,0.65873,1.878755,778.105769,1,yes
1018.971429,1448,0.5,2.121998,763.063526,1,yes
560,1460,0,2.319241,503.389773,1,yes
592,1448,0,2.409267,525.105704,1,yes
952.444444,1448,0.722222,1.836039,715.603288,1,yes
459.2,960,0,2.641121,403.351471,1,yes
602,1448,0,2.101569,547.841765,1,yes
1038.222222,1452,0.588889,1.956588,765.10026,1,yes
592,1448,0,2.324409,529.274754,1,yes
594,1448,0,2.409267,526.722175,1,yes
1034.622951,2144,0.827869,1.567516,748.184501,1,yes
957.4,1448,0.75,1.751649,716.752738,1,yes
594,1448,0,2.245099,534.61575,1,yes
1058.423792,2144,0.836431,1.500176,759.554546,1,yes
612,1460,0,2.5,538.578871,1,yes
926.344828,1056,0.793103,1.61319,698.912345,1,yes
594,1448,0,2.409267,526.722175,1,yes
981.209302,1440,0.72093,1.829109,730.77738,1,yes
1039.238095,1448,0.571429,2.046282,741.803286,1,yes
987.294118,1448,0.607843,1.94758,743.781578,1,yes
885.090909,1056,0.727273,1.740103,680.927796,1,yes
1122.4,1448,0.284,2.227304,777.022353,1,yes
594,1448,0,1.864381,550.063178,1,yes
996.459016,1440,0.704918,1.80083,736.622247,1,yes
1021.226667,1440,0.746667,1.751922,744.646035,1,yes
1010.731707,1440,0.670732,1.878171,725.751559,1,yes
1034.424242,1408,0.651515,1.907737,744.334156,1,yes
1050.322581,1408,0.645161,1.822612,774.105924,1,yes
994.133333,1448,0.733333,1.78824,729.208711,1,yes
977.090909,1448,0.681818,1.910114,726.832876,1,yes
1025.747899,1448,0.680672,1.821071,750.656849,1,yes
988.857143,1448,0.678571,1.852893,742.688214,1,yes
592,1440,0,2.29162,524.396796,1,yes
1072.418605,2144,0.755814,1.65074,774.556378,1,yes
594,1460,0,2.409267,527.808914,1,yes
1070.998808,2896,0.641836,1.80516,783.53654,1,yes
981.76,1448,0.64,1.931815,733.642542,1,yes
985.6,1428,0.68,1.887151,729.724875,1,yes
614,1460,0,2.5,539.038156,1,yes
616,1448,0,2.324409,549.001232,1,yes
614,1408,0,2.324409,545.551852,1,yes
988.8,1460,0.727273,1.824158,733.148611,1,yes
988.509091,1448,0.690909,1.869305,739.49864,1,yes
1075.009901,2144,0.722772,1.774412,784.774617,1,yes
1010.891566,1452,0.843373,1.55469,734.058705,1,yes
592,1448,0,2.245099,532.953198,1,yes
1068.121212,2144,0.730303,1.718473,778.631778,1,yes
563.2,1428,0,2.641121,492.360627,1,yes
1024.592593,2144,0.814815,1.616992,753.573058,1,yes
999.757576,1448,0.69697,1.824658,736.405496,1,yes
996.129032,1448,0.725806,1.800874,740.545933,1,yes
873.714286,2144,0,2.251035,776.643359,1,yes
986.264151,1448,0.773585,1.707392,731.56397,1,yes
588,1448,0,2.245099,529.696769,1,yes
1052.184615,1448,0.6,1.988669,759.364909,1,yes
592,1412,0,2.324409,526.402217,1,yes
